age,gender,education,employment_status,employment_sector,income_bracket,marital_status,household_size,has_children,urbanicity,region,voted_last,party_id_strength,union_member,public_sector,home_owner,small_biz_owner,owns_car,wa_groups,refused_count,attention_check,will_turnout,undecided,preference_strength,survey_confidence,tv_news_hours,social_media_hours,trust_media,civic_participation,job_tenure_years,primary_choice,secondary_choice,intended_vote
60.0,1.0,4.0,0.0,3.0,3.0,,5.0,0.0,2.0,2.0,1.0,3.0,1.0,,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,9.0,13.0,CAND_Icaro,CAND_Icaro,Undecided
,1.0,5.0,5.0,1.0,,1.0,7.0,1.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,,1.0,1.0,10.0,5.0,2.0,5.0,8.0,1.0,12.0,CAND_Icaro,CAND_Civico,Undecided
80.0,0.0,0.0,4.0,,,3.0,5.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,7.0,7.0,14.0,CAND_Demetra,CAND_Electra,Undecided
67.0,0.0,4.0,2.0,5.0,2.0,3.0,6.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,6.0,4.0,32.0,CAND_Demetra,CAND_Azon,CAND_Demetra
33.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,6.0,4.0,,CAND_Civico,CAND_Halley,CAND_Civico
73.0,1.0,2.0,4.0,0.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,2.0,5.0,4.0,6.0,10.0,0.0,CAND_Jade,CAND_Jade,Undecided
71.0,0.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,7.0,7.0,8.0,CAND_Electra,CAND_Demetra,CAND_Electra
32.0,0.0,2.0,2.0,4.0,0.0,1.0,,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.0,6.0,2.0,2.0,4.0,9.0,39.0,CAND_Boreal,CAND_Demetra,Undecided
52.0,1.0,2.0,2.0,4.0,2.0,2.0,7.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,,3.0,1.0,1.0,1.0,1.0,4.0,2.0,,,6.0,1.0,7.0,CAND_Electra,CAND_Demetra,Undecided
71.0,1.0,5.0,3.0,2.0,0.0,0.0,7.0,1.0,1.0,3.0,1.0,1.0,,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,7.0,3.0,6.0,CAND_Azon,CAND_Civico,Undecided
33.0,1.0,3.0,0.0,2.0,4.0,0.0,,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,6.0,1.0,5.0,1.0,1.0,1.0,3.0,CAND_Jade,CAND_Gaia,Undecided
34.0,0.0,5.0,5.0,0.0,0.0,,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,7.0,2.0,0.0,7.0,2.0,20.0,CAND_Gaia,CAND_Icaro,Undecided
29.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,,0.0,1.0,4.0,3.0,2.0,2.0,9.0,7.0,7.0,CAND_Gaia,CAND_Jade,Undecided
18.0,0.0,1.0,3.0,4.0,0.0,4.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,6.0,4.0,5.0,0.0,5.0,5.0,39.0,CAND_Electra,CAND_Frontera,CAND_Electra
,1.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,8.0,5.0,2.0,,8.0,20.0,CAND_Demetra,CAND_Demetra,Undecided
19.0,1.0,4.0,,,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,9.0,2.0,4.0,7.0,1.0,40.0,CAND_Icaro,CAND_Icaro,Undecided
57.0,0.0,0.0,4.0,0.0,0.0,0.0,,,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,5.0,2.0,0.0,3.0,28.0,CAND_Demetra,CAND_Frontera,Undecided
45.0,1.0,0.0,2.0,4.0,2.0,,7.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,10.0,3.0,,,5.0,7.0,,CAND_Azon,CAND_Electra,Undecided
30.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,,5.0,1.0,4.0,1.0,5.0,25.0,CAND_Demetra,,Undecided
,0.0,2.0,2.0,0.0,4.0,,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,2.0,3.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,9.0,3.0,16.0,CAND_Demetra,CAND_Azon,Undecided
18.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,,1.0,0.0,9.0,2.0,5.0,2.0,0.0,23.0,CAND_Gaia,CAND_Gaia,Undecided
27.0,1.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,,1.0,0.0,4.0,6.0,2.0,35.0,CAND_Halley,CAND_Gaia,Undecided
49.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,5.0,3.0,3.0,0.0,6.0,,CAND_Jade,CAND_Gaia,CAND_Jade
23.0,0.0,5.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,3.0,4.0,5.0,0.0,8.0,28.0,CAND_Civico,CAND_Frontera,Undecided
66.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,,0.0,1.0,,1.0,1.0,0.0,1.0,9.0,6.0,0.0,3.0,,4.0,3.0,CAND_Jade,CAND_Civico,Undecided
,1.0,2.0,3.0,2.0,,3.0,4.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,,0.0,1.0,5.0,9.0,3.0,5.0,0.0,10.0,12.0,CAND_Boreal,CAND_Demetra,Undecided
79.0,0.0,3.0,4.0,4.0,1.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,3.0,10.0,18.0,CAND_Halley,CAND_Jade,Undecided
,0.0,5.0,0.0,5.0,0.0,4.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,7.0,0.0,5.0,5.0,8.0,10.0,15.0,CAND_Azon,CAND_Gaia,Undecided
59.0,0.0,1.0,5.0,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,9.0,3.0,4.0,7.0,1.0,8.0,CAND_Icaro,CAND_Frontera,Undecided
52.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,9.0,1.0,4.0,2.0,6.0,8.0,,CAND_Azon,CAND_Halley,CAND_Azon
79.0,0.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,,1.0,3.0,3.0,4.0,2.0,3.0,10.0,33.0,CAND_Gaia,CAND_Gaia,Undecided
59.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,9.0,5.0,4.0,5.0,10.0,5.0,10.0,CAND_Azon,CAND_Icaro,Undecided
75.0,0.0,4.0,1.0,5.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,,10.0,7.0,2.0,0.0,4.0,4.0,23.0,CAND_Azon,CAND_Civico,CAND_Azon
49.0,1.0,,0.0,0.0,3.0,2.0,7.0,,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,5.0,2.0,0.0,5.0,4.0,37.0,CAND_Azon,CAND_Frontera,Undecided
32.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,3.0,4.0,9.0,1.0,5.0,CAND_Boreal,CAND_Boreal,Undecided
30.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,1.0,0.0,1.0,2.0,9.0,5.0,2.0,7.0,6.0,34.0,CAND_Boreal,CAND_Civico,Undecided
76.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,8.0,3.0,5.0,0.0,6.0,33.0,CAND_Gaia,CAND_Icaro,Undecided
31.0,1.0,0.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,7.0,5.0,2.0,4.0,0.0,0.0,11.0,CAND_Icaro,CAND_Gaia,Undecided
66.0,0.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,9.0,9.0,32.0,CAND_Frontera,CAND_Demetra,Undecided
53.0,,2.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,,0.0,0.0,6.0,2.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,2.0,7.0,7.0,CAND_Gaia,CAND_Civico,Undecided
36.0,0.0,4.0,4.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,10.0,0.0,5.0,2.0,5.0,10.0,26.0,CAND_Electra,CAND_Azon,CAND_Electra
45.0,1.0,1.0,5.0,2.0,4.0,0.0,7.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,,1.0,1.0,1.0,5.0,9.0,3.0,3.0,2.0,5.0,40.0,CAND_Civico,CAND_Demetra,Undecided
71.0,1.0,5.0,0.0,5.0,2.0,1.0,5.0,,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,1.0,0.0,1.0,8.0,7.0,,0.0,1.0,6.0,26.0,CAND_Azon,CAND_Demetra,Undecided
48.0,0.0,1.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,8.0,5.0,2.0,4.0,5.0,3.0,1.0,CAND_Demetra,CAND_Halley,CAND_Demetra
,1.0,3.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,3.0,10.0,1.0,4.0,6.0,0.0,6.0,CAND_Demetra,CAND_Demetra,CAND_Demetra
81.0,,2.0,2.0,5.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,5.0,3.0,0.0,5.0,33.0,CAND_Jade,CAND_Demetra,Undecided
38.0,0.0,3.0,2.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,,0.0,1.0,1.0,5.0,8.0,CAND_Demetra,CAND_Gaia,CAND_Demetra
53.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,8.0,4.0,CAND_Azon,CAND_Boreal,Undecided
53.0,2.0,4.0,3.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,6.0,0.0,4.0,7.0,10.0,24.0,CAND_Demetra,CAND_Frontera,Undecided
54.0,1.0,1.0,4.0,0.0,4.0,4.0,7.0,1.0,,3.0,0.0,4.0,0.0,0.0,0.0,,1.0,7.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,6.0,3.0,37.0,CAND_Demetra,CAND_Boreal,Undecided
22.0,0.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,10.0,0.0,14.0,CAND_Boreal,CAND_Electra,Undecided
42.0,1.0,1.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,12.0,CAND_Gaia,,Undecided
57.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,2.0,0.0,6.0,9.0,16.0,CAND_Icaro,CAND_Gaia,Undecided
79.0,1.0,,0.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,5.0,16.0,CAND_Gaia,CAND_Electra,Undecided
33.0,0.0,1.0,5.0,0.0,3.0,2.0,5.0,,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,6.0,36.0,CAND_Civico,CAND_Electra,CAND_Civico
61.0,0.0,0.0,1.0,4.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,8.0,2.0,1.0,5.0,7.0,6.0,22.0,CAND_Jade,CAND_Azon,Undecided
69.0,0.0,1.0,4.0,0.0,4.0,2.0,6.0,,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,,1.0,7.0,7.0,1.0,,9.0,8.0,26.0,CAND_Gaia,CAND_Civico,Undecided
79.0,0.0,4.0,3.0,3.0,0.0,4.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,10.0,6.0,,5.0,4.0,10.0,39.0,CAND_Azon,CAND_Electra,Undecided
29.0,1.0,4.0,5.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,0.0,6.0,17.0,CAND_Jade,CAND_Azon,Undecided
63.0,0.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,10.0,5.0,0.0,4.0,3.0,13.0,CAND_Azon,CAND_Icaro,Undecided
38.0,0.0,0.0,5.0,0.0,4.0,3.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,7.0,9.0,2.0,0.0,10.0,,33.0,CAND_Frontera,CAND_Icaro,Undecided
47.0,1.0,2.0,,5.0,,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,10.0,5.0,3.0,5.0,6.0,8.0,30.0,CAND_Civico,CAND_Azon,Undecided
18.0,1.0,2.0,4.0,2.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,8.0,2.0,5.0,2.0,4.0,5.0,2.0,CAND_Gaia,CAND_Gaia,CAND_Gaia
66.0,1.0,4.0,4.0,3.0,4.0,2.0,5.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,7.0,10.0,36.0,CAND_Demetra,CAND_Civico,Undecided
20.0,1.0,3.0,5.0,1.0,3.0,1.0,4.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,,1.0,,4.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,,1.0,14.0,CAND_Halley,CAND_Boreal,CAND_Halley
43.0,1.0,4.0,5.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,9.0,2.0,6.0,CAND_Demetra,CAND_Boreal,Undecided
51.0,1.0,3.0,1.0,2.0,0.0,3.0,5.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,2.0,2.0,1.0,0.0,1.0,,6.0,4.0,5.0,3.0,4.0,14.0,CAND_Gaia,CAND_Azon,Undecided
